Word ID,Label,Translate
p6_B8,ABAN,آبان
p4_B35,ACOLYTE,قمری
p4_B42,AND,و
p4_B39,AUTOMOBILE,اتومبیل
p6_B21,AZAR,آذر
p6_B19,BAHMAN,بهمن
p4_B25,BANK,بانک
p4_B47,BEARER,حامل
p4_B37,COLLEGE,دانشگاه
p4_B30,COMPUTER,کامپیوتر
p4_B23,CORPORATION,شرکت
p6_B20,DEI,دی
p5_B16,EIGHT,هشت
p5_B34,EIGHTEEN,هجده
p5_B13,EIGHTEENTH,هجدهم
p4_B56,EIGHTH,هشتم
p5_B44,EIGHTHUNDRED,هشتصد
p5_B40,EIGHTY,هشتاد
p5_B27,ELEVEN,یازده
p5_B6,ELEVENTH,یازدهم
p4_B41,END,تمام
p4_B46,EQUIVALENT,معادل
p6_B18,ESFAND,اسفند
p4_B22,EXCELLENCY,جناب
p6_B1,FARVARDIN,فروردین
p4_B31,FA_COMPUTER,رایانه
p6_B32,FA_MAX,حداکثر
p6_B31,FA_MIN,حداقل
p5_B23,FIFTEEN,پانزده
p5_B2,FIFTEENTH,پانزدهم
p4_B59,FIFTH,پنجم
p5_B29,FIFTY,پنجاه
p4_B49,FIRST,یکم
p5_B19,FIVE,پنج
p5_B47,FIVEHUNDRED,پانصد
p5_B20,FOUR,چهار
p5_B48,FOURHUNDRED,چهارصد
p5_B24,FOURTEEN,چهارده
p5_B3,FOURTEENTH,چهاردهم
p4_B60,FOURTH,چهارم
p5_B30,FOURTY,چهل
p4_B29,GENTLEMAN,محترم
p4_B34,HEJRY,هجری
p4_B26,HOME,منزل
p5_B38,HUNDRED,صد
p6_B6,HUNDREDTH,صدم
p6_B7,INITIAL,اول
p4_B24,INSTITUTION,موسسه
p6_B15,JAMADI_OL_AVAL,جمادی‌الاول
p6_B28,JAMADI_O_SANI,جمادی‌الثانی
p6_B13,KHORDAD,خرداد
p4_B38,MACHINE,ماشین
p6_B30,MAX,ماکزیمم
p6_B9,MEHR,مهر
p4_B50,MILLIARD,میلیارد
p4_B51,MILLION,میلیون
p6_B29,MIN,مینیمم
p4_B54,MISTRESS,خانم
p4_B33,MOBILE,موبایل
p6_B34,MOHARRAM,محرم
p6_B11,MORDAD,مرداد
p4_B28,MYSELF,خودم
p5_B15,NINE,نه
p5_B43,NINEHUNDRED,نهصد
p5_B33,NINETEEN,نوزده
p5_B12,NINETEENTH,نوزدهم
p5_B39,NINETY,نود
p4_B55,NINTH,نهم
p4_B53,OFFICE,اداره
p5_B9,ONE,یک
p5_B37,ONEHUNDRED,یکصد
p6_B2,ONEMILLIARD,یکمیلیارد
p6_B3,ONEMILLION,یکمیلیون
p6_B4,ONETHOUSAND,یکهزار
p6_B14,ORDIBEHESHT,اردیبهشت
p4_B21,OVERSEER,سرکار
p4_B32,PURCHASE,خرید
p6_B17,RABIE_O_AVAL,ربیع‌الاول
p6_B16,RABIE_O_SANI,ربیع‌الثانی
p6_B27,RAJAB,رجب
p6_B25,RAMEZAN,رمضان
p4_B44,REGARD,بابت
p4_B45,RIAL,ریال
p4_B48,SECOND,دوم
p4_B27,SELVES,خودشان
p5_B17,SEVEN,هفت
p5_B45,SEVENHUNDRED,هفتصد
p5_B35,SEVENTEEN,هفده
p5_B14,SEVENTEENTH,هفدهم
p4_B57,SEVENTH,هفتم
p5_B41,SEVENTY,هفتاد
p6_B26,SHABAN,شعبان
p6_B10,SHAHRIVAR,شهریور
p6_B24,SHAVAL,شوال
p4_B20,SIR,آقا
p5_B18,SIX,شش
p5_B46,SIXHUNDRED,ششصد
p5_B22,SIXTEEN,شانزده
p5_B1,SIXTEENTH,شانزدهم
p4_B58,SIXTH,ششم
p5_B42,SIXTY,شصت
p4_B36,SOLAR,شمسی
p4_B40,TEL,تلفن
p5_B28,TEN,ده
p5_B7,TENTH,دهم
p4_B61,THIRD,سوم
p5_B25,THIRTEEN,سیزده
p5_B4,THIRTEENTH,سیزدهم
p5_B10,THIRTIETH,سی‌ام
p5_B31,THIRTY,سی
p4_B52,THOUSAND,هزار
p6_B5,THOUSANDTH,هزارم
p5_B21,THREE,سه
p5_B49,THREEHUNDRED,سیصد
p6_B12,TIR,تیر
p4_B43,TOMAN,تومان
p5_B5,TWELFTH,دوازدهم
p5_B26,TWELVE,دوازده
p5_B11,TWENTIETH,بیستم
p5_B32,TWENTY,بیست
p5_B8,TWO,دو
p5_B36,TWOHUNDRED,دویست
p6_B23,ZEI_GHADE,ذی‌القعده
p6_B22,ZEI_HAJJE,ذی‌الحجه
p6_B33,ZERO,صفر
